Frame Number ,Layer Number,Overflow Count,Underflow Count,Max GNA value,Scale Factor,Max FP32 value,Mean of Overflowing FP32 values,Median,GNA Layer Name,IR Layer Name
1,468,31,0,64.0,512,221.456,75.21312580645161,63.447,kActIdentity_468,identity_127
1,485,0,3,2.5,256,7.3281,0,0,kActIdentity_485,identity_132
1,409,0,0,17.8066,512,19.519,0,0,kActIdentity_409,identity_111
1,325,0,0,0.0351562,512,0.0367282,0,0,kActIdentity_325,identity_86
1,585,0,69,0.972656,512,0.991719,0,0,kActIdentity_585,identity_160
1,374,32,0,64.0,512,89.7203,54.49143343749999,55.183899999999994,kActIdentity_374,identity_100
1,105,0,1,2.75,256,6.32612,0,0,kActIdentity_105,identity_24
1,124,0,0,1.84375,512,1.93556,0,0,kActIdentity_124,identity_30
1,359,31,0,64.0,512,136.319,58.046952580645154,56.764,kActIdentity_359,identity_97
1,286,40,0,64.0,512,98.8924,69.29280750000001,67.5248,kActIdentity_286,identity_76
1,369,0,3,2.625,256,6.09917,0,0,kActIdentity_369,identity_99
1,378,0,0,6.95703,512,6.5127,0,0,kActIdentity_378,identity_102
1,422,0,2,2.875,256,8.48034,0,0,kActIdentity_422,identity_114
1,68,0,0,2.02734,512,2.01034,0,0,kActIdentity_68,identity_15
1,89,0,5,3.0,256,4.09146,0,0,kActIdentity_89,identity_20
1,296,0,4,2.25,256,3.41176,0,0,kActIdentity_296,identity_78
1,66,26,0,64.0,512,92.9959,72.51970384615385,70.6562,kActIdentity_66,identity_14
1,542,0,0,63.9629,512,48.4029,0,0,kActIdentity_542,identity_148
1,201,0,1,2.375,256,8.33531,0,0,kActIdentity_201,identity_51
1,30,59,0,64.0,512,172.826,78.68764237288137,74.2009,kActIdentity_30,identity_2
1,127,42,0,64.0,512,131.506,73.51250476190478,70.44655,kActIdentity_127,identity_31
1,517,0,4,3.5,256,5.6133,0,0,kActIdentity_517,identity_141
1,525,0,0,3.44531,512,5.97906,0,0,kActIdentity_525,identity_144
1,571,10,0,63.998,512,85.8744,61.341899999999995,58.62295,kActIdentity_571,identity_157
1,186,109,0,64.0,512,249.521,82.42896422018349,74.1099,kActIdentity_186,identity_47
1,141,11,0,64.0,512,344.219,135.83721818181817,79.2378,kActIdentity_141,identity_34
1,191,21,0,64.0,512,252.091,96.40859047619048,73.0248,kActIdentity_191,identity_49
1,279,14,0,64.0,512,73.2235,58.291378571428574,55.3514,kActIdentity_279,identity_73
1,581,0,5,2.75,256,3.88475,0,0,kActIdentity_581,identity_159
1,403,0,0,6.13086,512,5.31022,0,0,kActIdentity_403,identity_108
1,376,131,0,64.0,512,149.706,65.57106603053435,63.9866,kActIdentity_376,identity_101
1,156,0,0,0.0390625,512,0.0267989,0,0,kActIdentity_156,identity_38
1,462,0,0,0.0390625,512,0.0370576,0,0,kActIdentity_462,identity_125
1,306,0,63,0.761719,512,0.807615,0,0,kActIdentity_306,identity_80
1,177,0,0,0.0429688,512,0.0396887,0,0,kActIdentity_177,identity_44
1,253,0,4,2.375,256,27.5724,0,0,kActIdentity_253,identity_66
1,544,35,0,64.0,512,104.529,61.57098,59.4352,kActIdentity_544,identity_149
1,430,0,0,1.39258,512,0.869282,0,0,kActIdentity_430,identity_117
1,42,54,0,64.0,512,122.984,78.14523333333335,74.4667,kActIdentity_42,identity_6
1,213,0,0,6.97852,512,7.09286,0,0,kActIdentity_213,identity_54
1,272,0,0,0.0390625,512,0.038145,0,0,kActIdentity_272,identity_71
1,118,0,0,9.85156,512,8.82283,0,0,kActIdentity_118,identity_27
1,536,0,0,0.0546875,512,0.018692,0,0,kActIdentity_536,identity_146
1,79,0,0,0.0410156,512,0.0365135,0,0,kActIdentity_79,identity_17
1,240,0,0,1.26367,512,0.993566,0,0,kActIdentity_240,identity_63
1,356,0,0,13.4551,512,12.2031,0,0,kActIdentity_356,identity_96
1,261,0,0,8.53516,512,7.66225,0,0,kActIdentity_261,identity_69
1,32,0,0,1.5625,512,1.91522,0,0,kActIdentity_32,identity_3
1,549,19,0,63.998,512,106.392,59.92352631578947,58.3753,kActIdentity_549,identity_151
1,143,100,1,64.0,512,808.704,96.30395099999998,70.41550000000001,kActIdentity_143,identity_35
